"","normal_1","normal_2","normal_3","fibrosis_1","fibrosis_2","fibrosis_3","fibrosis_4"
"ENSMUSG00000083629",0,0,0,0,0,0,0
"ENSMUSG00000089543",0,0,0,0,0,0,0
"ENSMUSG00000083496",0,0,1,0,0,3,0
"ENSMUSG00000084248",0,0,0,0,0,0,0
"ENSMUSG00000082179",7,4,7,1,6,3,3
"ENSMUSG00000083076",3,3,2,1,0,3,0
"ENSMUSG00000083219",2,3,7,1,3,2,2
"ENSMUSG00000082555",0,0,0,0,0,0,0
"ENSMUSG00000005994",0,0,0,0,0,0,0
"ENSMUSG00000048706",387,363,565,235,283,325,189
"ENSMUSG00000099273",0,0,0,0,0,0,0
"ENSMUSG00000028402",595,385,918,789,801,833,724
"ENSMUSG00000077607",0,1,0,0,0,0,0
"ENSMUSG00000081391",0,0,0,0,0,0,0
"ENSMUSG00000083385",0,0,0,0,0,0,0
"ENSMUSG00000087540",0,0,0,0,0,0,0
"ENSMUSG00000084718",0,0,0,0,0,0,0
"ENSMUSG00000087608",0,0,0,0,0,0,0
"ENSMUSG00000087110",0,0,1,2,0,0,0
"ENSMUSG00000092661",0,0,0,0,0,0,0
"ENSMUSG00000085022",19,13,9,8,31,13,10
"ENSMUSG00000008575",2826,1991,3078,3401,3528,3555,2764
"ENSMUSG00000084595",0,1,1,0,0,0,0
"ENSMUSG00000087413",6,5,7,18,18,21,13
"ENSMUSG00000084851",0,0,0,0,0,0,0
"ENSMUSG00000084357",0,0,0,0,0,0,0
"ENSMUSG00000086293",0,1,0,0,0,0,0
"ENSMUSG00000028403",861,609,843,891,902,827,807
"ENSMUSG00000038192",1,0,0,0,1,0,0
"ENSMUSG00000059049",149,130,382,1961,1189,1863,1293
"ENSMUSG00000089409",0,0,0,0,0,0,0
"ENSMUSG00000082637",0,0,0,0,0,0,0
"ENSMUSG00000083245",13,7,11,4,6,13,7
"ENSMUSG00000038172",465,308,524,914,900,883,896
"ENSMUSG00000096801",0,0,0,0,0,0,0
"ENSMUSG00000086321",0,1,0,1,1,3,1
"ENSMUSG00000087592",0,0,0,0,0,0,0
"ENSMUSG00000028483",569,364,650,1021,932,1070,735
"ENSMUSG00000028484",724,688,898,1622,1383,1398,1217
"ENSMUSG00000082416",0,0,0,0,0,0,0
"ENSMUSG00000066116",0,0,0,0,0,0,0
"ENSMUSG00000052407",43,48,53,83,80,79,111
"ENSMUSG00000064606",0,0,1,1,1,1,1
"ENSMUSG00000098217",0,0,0,0,0,0,0
"ENSMUSG00000080793",0,0,0,0,1,0,0
"ENSMUSG00000097942",0,0,0,0,0,0,0
"ENSMUSG00000085378",0,0,0,0,0,0,0
"ENSMUSG00000085217",0,0,0,0,0,0,0
"ENSMUSG00000083044",18,12,28,10,16,14,5
"ENSMUSG00000087378",1,1,3,2,8,2,4
"ENSMUSG00000028487",543,264,577,247,220,213,209
"ENSMUSG00000083743",0,0,0,1,0,0,0
"ENSMUSG00000081775",0,0,0,1,2,1,0
"ENSMUSG00000086413",0,0,0,0,0,0,0
"ENSMUSG00000038070",241,158,268,654,531,613,536
"ENSMUSG00000083139",0,0,0,4,0,1,3
"ENSMUSG00000080303",4,1,2,1,1,4,2
"ENSMUSG00000084267",0,0,0,0,0,0,0
"ENSMUSG00000028488",511,343,555,539,505,443,383
"ENSMUSG00000081862",0,0,1,0,0,2,0
"ENSMUSG00000087349",2,0,3,0,0,10,3
"ENSMUSG00000088122",0,0,0,0,0,0,0
"ENSMUSG00000064687",0,0,0,0,0,0,0
"ENSMUSG00000066113",98,50,149,313,243,353,273
"ENSMUSG00000083272",0,0,0,0,0,0,0
"ENSMUSG00000028492",0,0,1,4,4,5,3
"ENSMUSG00000077597",0,0,0,0,0,0,0
"ENSMUSG00000085108",0,0,0,0,0,0,0
"ENSMUSG00000070934",1067,861,1273,1300,1325,1359,1152
"ENSMUSG00000038047",203,158,249,448,420,441,339
"ENSMUSG00000088958",0,0,0,0,0,3,1
"ENSMUSG00000081169",0,0,0,2,1,1,3
"ENSMUSG00000028494",722,950,824,2652,2412,2966,1901
"ENSMUSG00000038024",939,495,978,725,835,717,707
"ENSMUSG00000082969",2,2,6,8,4,8,7
"ENSMUSG00000028495",3595,3419,4177,6008,7029,5710,4271
"ENSMUSG00000038007",1062,713,1479,1798,1456,1445,1535
"ENSMUSG00000037996",0,0,0,0,2,0,0
"ENSMUSG00000086512",0,0,0,0,0,0,0
"ENSMUSG00000093065",0,0,0,0,0,0,0
"ENSMUSG00000082443",0,0,0,0,0,0,0
"ENSMUSG00000028496",308,263,431,480,524,502,399
"ENSMUSG00000084809",3,2,0,1,3,0,0
"ENSMUSG00000081530",0,0,0,0,0,0,0
"ENSMUSG00000038368",318,184,263,337,322,285,273
"ENSMUSG00000070077",0,0,0,0,0,0,0
"ENSMUSG00000082597",0,0,0,0,0,0,0
"ENSMUSG00000028497",287,162,402,637,678,679,660
"ENSMUSG00000048806",0,0,0,0,0,0,0
"ENSMUSG00000096011",0,0,0,0,0,0,0
"ENSMUSG00000095896",0,0,0,0,0,0,0
"ENSMUSG00000080964",0,0,0,0,0,0,0
"ENSMUSG00000095270",0,0,0,0,0,0,0
"ENSMUSG00000078480",46,40,76,40,45,40,49
"ENSMUSG00000073811",0,0,0,0,0,0,0
"ENSMUSG00000083958",0,0,0,0,0,0,0
"ENSMUSG00000038330",0,0,0,0,0,0,0
"ENSMUSG00000063376",0,0,0,0,0,0,0
"ENSMUSG00000081784",0,0,0,0,0,0,0
"ENSMUSG00000078355",0,0,0,0,0,0,0
"ENSMUSG00000078354",0,0,0,0,0,0,0
"ENSMUSG00000100079",0,0,0,0,0,0,0
"ENSMUSG00000081893",0,0,0,0,0,0,0
"ENSMUSG00000084192",0,1,0,0,0,0,0
"ENSMUSG00000070923",2160,1717,2299,2261,2511,2273,2022
"ENSMUSG00000097078",1,0,2,2,1,0,1
"ENSMUSG00000086074",0,0,0,0,0,0,0
"ENSMUSG00000094618",0,0,0,0,1,0,0
"ENSMUSG00000085473",0,0,1,0,0,0,0
"ENSMUSG00000081501",0,0,0,0,0,0,0
"ENSMUSG00000073809",0,0,0,0,0,0,0
"ENSMUSG00000100505",0,0,0,0,0,0,0
"ENSMUSG00000094498",0,0,0,0,0,0,0
"ENSMUSG00000082789",0,0,0,0,0,0,0
"ENSMUSG00000073807",0,0,0,0,0,0,0
"ENSMUSG00000094271",0,0,0,0,0,0,0
"ENSMUSG00000094167",0,0,0,0,0,0,0
"ENSMUSG00000096582",0,0,0,0,0,0,0
"ENSMUSG00000096591",0,0,0,0,2,0,0
"ENSMUSG00000096854",0,0,0,0,0,0,0
"ENSMUSG00000096987",0,0,0,0,0,0,0
"ENSMUSG00000099545",0,0,0,0,0,0,0
"ENSMUSG00000100234",0,0,0,0,0,0,0
"ENSMUSG00000101163",0,0,0,0,0,0,0
"ENSMUSG00000099518",0,0,0,0,0,0,0
"ENSMUSG00000097873",0,0,0,0,0,0,0
"ENSMUSG00000099420",0,0,0,0,0,0,0
"ENSMUSG00000095101",0,0,0,0,0,0,0
"ENSMUSG00000094648",0,0,0,0,0,0,0
"ENSMUSG00000070908",0,0,0,0,0,0,0
"ENSMUSG00000100713",0,0,0,0,0,0,0
"ENSMUSG00000100549",0,0,0,0,0,0,0
"ENSMUSG00000101252",0,0,0,0,0,0,0
"ENSMUSG00000096682",0,0,0,0,0,0,0
"ENSMUSG00000070904",0,0,0,0,0,0,0
"ENSMUSG00000095498",0,0,0,0,0,0,0
"ENSMUSG00000054351",0,0,0,0,0,0,0
"ENSMUSG00000045364",0,0,0,0,0,1,0
"ENSMUSG00000065408",1,0,0,0,0,0,0
"ENSMUSG00000085183",0,0,0,0,0,0,0
"ENSMUSG00000085569",0,1,1,2,0,0,0
"ENSMUSG00000062937",814,569,900,1107,1188,912,829
"ENSMUSG00000083989",0,0,0,0,2,0,0
"ENSMUSG00000088504",1,2,3,1,1,2,1
"ENSMUSG00000107513",0,0,0,0,0,0,0
"ENSMUSG00000087659",0,0,0,0,0,0,0
"ENSMUSG00000044303",0,0,1,19,12,25,5
"ENSMUSG00000073802",119,27,130,316,323,349,169
"ENSMUSG00000085147",0,0,0,2,0,2,0
"ENSMUSG00000086035",0,0,0,0,1,4,0
"ENSMUSG00000080808",0,0,0,0,0,0,0
"ENSMUSG00000098669",0,0,0,0,0,0,0
"ENSMUSG00000043753",4,10,9,3,6,1,2
"ENSMUSG00000085690",0,0,0,0,0,0,0
"ENSMUSG00000070902",0,0,0,0,0,0,0
"ENSMUSG00000080756",0,0,0,0,0,0,0
"ENSMUSG00000082569",2,0,1,1,1,2,3
"ENSMUSG00000081563",0,0,0,0,0,0,0
"ENSMUSG00000082502",0,0,0,0,0,0,0
"ENSMUSG00000082622",1,0,0,0,1,0,2
"ENSMUSG00000096896",0,0,0,0,0,0,0
"ENSMUSG00000079962",0,0,1,0,0,0,0
"ENSMUSG00000081876",0,0,0,0,0,0,0
"ENSMUSG00000008489",1,0,0,0,0,0,1
"ENSMUSG00000083377",0,0,0,0,0,0,0
"ENSMUSG00000098563",0,0,0,0,0,0,0
"ENSMUSG00000085817",0,0,0,0,0,0,0
"ENSMUSG00000086042",0,0,0,0,0,0,0
"ENSMUSG00000082523",0,0,0,0,0,0,0
"ENSMUSG00000100863",15,6,9,14,12,14,13
"ENSMUSG00000095937",1,2,0,0,1,1,1
"ENSMUSG00000087517",0,0,0,0,0,0,0
"ENSMUSG00000028533",0,0,0,0,0,0,0
"ENSMUSG00000066107",0,0,0,0,1,0,0
"ENSMUSG00000083296",0,0,0,0,0,0,0
"ENSMUSG00000085209",0,0,0,0,0,0,0
"ENSMUSG00000088914",0,0,0,0,0,0,0
"ENSMUSG00000081987",0,0,0,0,0,0,0
"ENSMUSG00000082919",1,0,1,0,1,1,0
"ENSMUSG00000082325",0,0,0,0,0,0,0
"ENSMUSG00000054000",117,135,135,125,150,150,149
"ENSMUSG00000084833",0,0,0,0,0,0,0
"ENSMUSG00000064850",0,0,0,0,0,0,0
"ENSMUSG00000083607",0,0,0,0,0,0,0
"ENSMUSG00000095898",0,0,0,0,0,0,0
"ENSMUSG00000095856",0,0,0,0,0,0,0
"ENSMUSG00000073797",0,0,0,0,0,0,0
"ENSMUSG00000081685",0,0,0,0,0,0,0
"ENSMUSG00000085931",0,0,0,0,0,0,0
"ENSMUSG00000077622",0,0,0,0,0,0,0
"ENSMUSG00000081508",0,0,0,0,0,0,0
"ENSMUSG00000088295",0,0,0,0,0,0,0
"ENSMUSG00000087128",10,21,31,40,43,41,18
"ENSMUSG00000088677",0,0,0,0,1,0,0
"ENSMUSG00000083359",1,1,2,0,3,0,1
"ENSMUSG00000028578",181,149,209,228,220,242,241
"ENSMUSG00000070900",0,0,1,0,1,0,0
"ENSMUSG00000028577",1686,1514,1836,2367,2261,2002,1770
"ENSMUSG00000063314",1,0,2,2,3,0,1
"ENSMUSG00000028576",436,424,600,903,803,672,598
"ENSMUSG00000049799",5383,3410,4855,855,1227,903,1632
"ENSMUSG00000077921",0,0,0,0,0,0,0
"ENSMUSG00000006386",1321,1200,1990,1303,1148,1346,1267
"ENSMUSG00000028575",3,1,4,13,7,12,6
"ENSMUSG00000083179",5,0,1,1,1,2,3
"ENSMUSG00000062627",881,663,1006,1180,1068,1150,1009
"ENSMUSG00000086251",0,1,0,0,0,1,0
"ENSMUSG00000052767",0,0,0,0,0,0,0
"ENSMUSG00000081030",2,0,0,2,3,0,1
"ENSMUSG00000052684",762,638,779,3573,3653,4093,3495
"ENSMUSG00000087366",26,19,33,57,58,58,38
"ENSMUSG00000084624",1,0,1,2,4,0,1
"ENSMUSG00000085377",1,1,2,4,0,3,3
"ENSMUSG00000100189",1,0,6,2,2,4,1
"ENSMUSG00000084918",0,0,0,1,1,0,0
"ENSMUSG00000100129",0,0,0,0,0,0,0
"ENSMUSG00000084939",1,1,0,0,1,0,0
"ENSMUSG00000085835",0,0,0,0,0,0,0
"ENSMUSG00000065745",0,0,0,0,0,0,0
"ENSMUSG00000028573",3011,2444,3471,1252,1806,1148,1221
"ENSMUSG00000093492",0,0,0,0,0,0,0
"ENSMUSG00000044125",6,7,8,8,3,14,1
"ENSMUSG00000028572",2514,1670,2528,1663,1810,1642,1665
"ENSMUSG00000028571",23,20,17,418,199,345,239
"ENSMUSG00000083880",1,0,0,0,2,1,1
"ENSMUSG00000081225",1,1,0,0,0,0,0
"ENSMUSG00000080884",0,0,0,0,0,0,0
"ENSMUSG00000083801",3,0,1,0,0,0,0
"ENSMUSG00000082681",0,0,0,0,0,0,0
"ENSMUSG00000081362",68,55,88,20,53,22,22
"ENSMUSG00000084286",8,6,12,1,1,3,2
"ENSMUSG00000066097",6419,6027,6121,414,1294,680,1133
"ENSMUSG00000082119",0,2,0,0,0,0,0
"ENSMUSG00000082932",21,25,27,7,17,19,6
"ENSMUSG00000052914",1413,1082,1580,1858,1913,1725,1550
"ENSMUSG00000015224",399,352,457,418,562,361,352
"ENSMUSG00000052520",33666,27470,40329,11106,17270,8449,15826
"ENSMUSG00000078639",0,1,2,0,1,0,0
"ENSMUSG00000088738",0,0,0,0,0,0,0
"ENSMUSG00000098261",0,0,0,0,0,0,0
"ENSMUSG00000066990",0,0,0,0,0,0,0
"ENSMUSG00000084159",235,140,233,288,294,206,258
"ENSMUSG00000082683",0,0,1,0,0,0,0
"ENSMUSG00000048747",2,2,2,0,2,5,2
"ENSMUSG00000085710",4,1,1,2,1,2,2
"ENSMUSG00000028565",1574,1644,1847,1708,1805,1738,1404
"ENSMUSG00000081096",0,0,0,1,0,0,0
"ENSMUSG00000082388",0,0,0,0,0,0,0
"ENSMUSG00000083644",0,0,0,0,0,0,0
"ENSMUSG00000064883",0,0,0,0,0,0,0
"ENSMUSG00000046683",13,6,9,5,11,4,3
"ENSMUSG00000082144",11,7,8,6,8,3,4
"ENSMUSG00000028563",755,733,807,428,450,482,459
"ENSMUSG00000088548",0,0,0,0,0,0,0
"ENSMUSG00000061859",3694,2386,3699,2189,2917,2395,2171
"ENSMUSG00000094456",0,0,0,0,0,0,0
"ENSMUSG00000076294",0,0,0,0,0,0,0
"ENSMUSG00000081046",1,1,2,1,2,1,2
"ENSMUSG00000087166",1,0,1,1,4,0,0
"ENSMUSG00000090718",0,0,0,0,0,0,0
"ENSMUSG00000035407",143,134,262,305,184,270,282
"ENSMUSG00000085843",11,1,9,17,11,5,7
"ENSMUSG00000073794",0,0,0,0,0,0,0
"ENSMUSG00000084188",0,0,0,0,0,0,0
"ENSMUSG00000028560",670,542,734,789,855,665,767
"ENSMUSG00000028556",2065,1279,2008,2652,2975,3096,2500
"ENSMUSG00000028553",577,742,837,99,154,88,228
"ENSMUSG00000081733",0,0,0,0,0,4,0
"ENSMUSG00000087395",1,1,0,1,1,0,4
"ENSMUSG00000086498",0,0,0,2,2,2,0
"ENSMUSG00000028550",415,336,407,442,422,374,358
"ENSMUSG00000104479",0,0,2,0,3,1,0
"ENSMUSG00000070891",7,12,27,19,22,20,12
"ENSMUSG00000103097",0,0,0,0,0,0,0
"ENSMUSG00000081184",0,0,0,0,0,1,0
"ENSMUSG00000082442",0,0,0,0,0,0,0
"ENSMUSG00000081150",0,0,0,0,0,0,0
"ENSMUSG00000080803",0,0,0,0,0,0,0
"ENSMUSG00000103575",0,0,0,0,0,0,0
"ENSMUSG00000087332",0,0,0,0,0,0,0
"ENSMUSG00000083698",0,0,0,0,0,0,0
"ENSMUSG00000086096",2,0,0,2,2,4,0
"ENSMUSG00000067261",5,2,4,2,1,4,7
"ENSMUSG00000092763",0,0,0,0,0,0,0
"ENSMUSG00000086592",0,0,0,0,0,0,0
"ENSMUSG00000073792",247,179,279,357,341,450,296
"ENSMUSG00000028549",143,173,188,282,226,180,160
"ENSMUSG00000073791",82,88,134,174,190,152,137
"ENSMUSG00000084478",0,0,0,0,0,1,0
"ENSMUSG00000025791",2529,1938,2965,1191,1580,1134,1322
"ENSMUSG00000085142",0,0,0,0,0,0,0
"ENSMUSG00000035305",166,101,237,400,319,383,257
"ENSMUSG00000086385",0,0,0,0,0,4,1
"ENSMUSG00000080967",0,0,1,1,0,0,0
"ENSMUSG00000069733",237,176,194,119,146,83,91
"ENSMUSG00000085871",0,1,0,0,0,0,0
"ENSMUSG00000081553",1,0,2,2,2,1,2
"ENSMUSG00000082601",0,0,0,0,1,0,0
"ENSMUSG00000028532",1643,1109,1818,983,1224,1048,860
"ENSMUSG00000073789",0,0,0,0,0,0,0
"ENSMUSG00000102578",0,0,0,0,0,0,0
"ENSMUSG00000035275",138,87,139,155,132,161,85
"ENSMUSG00000088551",0,0,0,0,0,0,0
"ENSMUSG00000028530",4152,2750,4903,6563,6358,5869,6574
"ENSMUSG00000077677",0,0,0,0,0,0,0
"ENSMUSG00000082928",0,1,0,0,0,0,0
"ENSMUSG00000065279",0,0,0,0,0,0,1
"ENSMUSG00000085863",0,0,0,0,0,0,0
"ENSMUSG00000085721",1,0,2,0,1,0,1
"ENSMUSG00000081621",3,1,1,0,0,0,0
"ENSMUSG00000086782",325,241,352,200,248,219,224
"ENSMUSG00000065451",0,0,0,0,0,0,0
"ENSMUSG00000087361",85,71,105,35,46,42,53
"ENSMUSG00000083614",20,29,20,6,9,9,15
"ENSMUSG00000084758",40,18,29,9,19,17,10
"ENSMUSG00000028527",10803,6927,10538,458,1093,542,1225
"ENSMUSG00000028528",1013,596,1031,243,231,166,238
"ENSMUSG00000089446",0,1,2,0,0,0,0
"ENSMUSG00000035212",1106,917,1255,3048,3140,3051,2200
"ENSMUSG00000057722",298,217,523,415,739,734,797
"ENSMUSG00000035201",0,0,0,0,0,0,0
"ENSMUSG00000081121",2,1,1,0,1,0,0
"ENSMUSG00000081045",0,0,0,0,0,0,0
"ENSMUSG00000046133",0,0,0,0,0,0,0
"ENSMUSG00000084208",0,0,0,0,0,0,0
"ENSMUSG00000037028",0,0,0,0,0,0,0
"ENSMUSG00000070890",0,0,0,0,0,0,0
"ENSMUSG00000078626",0,0,0,0,0,0,0
"ENSMUSG00000078625",0,0,0,0,0,0,0
"ENSMUSG00000082264",1,3,1,3,6,2,4
"ENSMUSG00000028525",379,319,476,1038,810,799,596
"ENSMUSG00000077260",0,0,0,0,0,0,0
"ENSMUSG00000028524",28,30,20,29,28,47,27
"ENSMUSG00000085181",0,3,0,0,0,0,0
"ENSMUSG00000028523",0,0,0,0,0,0,0
"ENSMUSG00000085041",0,0,0,0,0,0,0
"ENSMUSG00000066090",4,0,4,4,1,2,0
"ENSMUSG00000035126",304,201,292,261,302,348,219
"ENSMUSG00000080744",0,0,1,1,1,1,0
"ENSMUSG00000028522",1598,1070,1556,2145,2112,2263,2052
"ENSMUSG00000028521",1888,1563,1904,729,1188,837,941
"ENSMUSG00000107726",33,39,57,89,93,77,57
"ENSMUSG00000028520",0,0,2,1,0,0,0
"ENSMUSG00000078618",0,0,0,0,0,0,0
"ENSMUSG00000035069",786,609,933,570,650,587,501
"ENSMUSG00000086136",0,0,1,0,0,0,2
"ENSMUSG00000094477",0,0,0,0,0,0,0
"ENSMUSG00000087482",0,0,0,0,0,0,0
"ENSMUSG00000081584",2,0,5,1,0,0,0
"ENSMUSG00000059195",0,1,1,1,1,0,2
"ENSMUSG00000093365",0,0,0,0,0,0,0
"ENSMUSG00000077514",0,0,0,0,0,0,0
"ENSMUSG00000028519",202,98,136,190,267,199,174
"ENSMUSG00000080913",0,0,0,0,0,0,0
"ENSMUSG00000081696",0,0,0,0,1,0,0
"ENSMUSG00000029656",1,0,0,0,1,0,0
"ENSMUSG00000035031",2966,2969,3116,110,465,118,358
"ENSMUSG00000095386",3,3,6,1,1,0,0
"ENSMUSG00000078612",57,44,63,400,307,420,423
"ENSMUSG00000083791",0,2,0,4,2,6,2
"ENSMUSG00000028518",4771,3261,5405,1916,2304,1677,1950
"ENSMUSG00000028517",1971,1552,2666,2108,2628,2167,2076
"ENSMUSG00000081819",4,3,3,1,1,2,1
"ENSMUSG00000083128",0,0,1,0,0,0,0
"ENSMUSG00000082061",0,0,1,0,1,0,1
"ENSMUSG00000083780",1,1,0,1,2,0,1
"ENSMUSG00000089065",0,0,0,0,0,0,0
"ENSMUSG00000085790",0,0,0,0,2,0,0
"ENSMUSG00000082768",0,0,0,2,0,0,1
"ENSMUSG00000087933",0,0,0,0,0,0,0
"ENSMUSG00000106163",0,0,0,0,0,0,0
"ENSMUSG00000081189",2,2,2,3,2,5,2
"ENSMUSG00000086249",2,0,1,0,3,0,2
"ENSMUSG00000082958",0,0,0,0,0,0,0
"ENSMUSG00000087051",0,0,0,0,1,0,0
"ENSMUSG00000104192",0,0,0,1,0,0,0
"ENSMUSG00000028514",7084,4648,6893,4715,5817,4733,5685
"ENSMUSG00000044254",127,105,291,111,131,97,75
"ENSMUSG00000025418",2350,2072,3045,1036,1771,1041,801
"ENSMUSG00000085933",115,3,10,24,1,9,0
"ENSMUSG00000086172",2,1,4,2,1,5,5
"ENSMUSG00000034926",5728,4149,8050,3134,3780,2719,3318
"ENSMUSG00000085023",0,0,0,0,0,0,0
"ENSMUSG00000054362",3,3,2,4,4,2,0
"ENSMUSG00000034919",138,93,180,159,155,232,116
"ENSMUSG00000043572",190,173,265,193,246,210,148
"ENSMUSG00000025413",1162,1056,1414,1308,1364,1237,1088
"ENSMUSG00000047502",399,219,366,110,155,99,147
"ENSMUSG00000034871",704,370,641,44,123,40,129
"ENSMUSG00000034853",696,509,752,354,420,222,213
"ENSMUSG00000081110",0,0,0,1,1,0,0
"ENSMUSG00000086940",0,0,0,0,0,0,0
"ENSMUSG00000061887",1437,1031,1511,2053,2071,1930,1372
"ENSMUSG00000085581",3,3,2,2,3,6,2
"ENSMUSG00000028622",1893,1809,2199,1645,1899,1884,1453
"ENSMUSG00000028621",715,566,760,702,888,610,435
"ENSMUSG00000047636",0,0,0,0,0,2,0
"ENSMUSG00000085304",2,0,0,2,1,0,0
"ENSMUSG00000028619",445,427,528,690,734,662,537
"ENSMUSG00000028618",6853,6804,8080,5101,5909,5565,5060
"ENSMUSG00000070877",1,0,2,2,4,11,1
"ENSMUSG00000028617",465,465,549,1206,993,1241,844
"ENSMUSG00000063172",208,208,238,376,345,324,255
"ENSMUSG00000082941",4,2,0,3,3,5,1
"ENSMUSG00000034785",2357,1474,1403,340,544,490,307
"ENSMUSG00000057375",881,659,864,819,961,829,693
"ENSMUSG00000082279",4,2,0,1,5,1,2
"ENSMUSG00000086041",3,0,5,3,2,2,1
"ENSMUSG00000028614",542,477,618,705,765,717,624
"ENSMUSG00000092723",0,0,0,0,0,0,0
"ENSMUSG00000034762",309,238,420,228,237,237,238
"ENSMUSG00000028610",0,0,0,0,0,0,0
"ENSMUSG00000081916",0,0,0,0,0,0,0
"ENSMUSG00000085549",0,0,0,0,0,0,0
"ENSMUSG00000094267",0,0,0,0,0,0,0
"ENSMUSG00000084874",0,0,0,0,2,2,0
"ENSMUSG00000087195",0,0,0,0,0,0,0
"ENSMUSG00000087289",3,1,2,7,20,5,0
"ENSMUSG00000087200",0,0,0,5,4,1,1
"ENSMUSG00000028613",303,131,429,246,356,214,210
"ENSMUSG00000073779",0,0,0,2,0,0,0
"ENSMUSG00000028612",0,0,0,0,1,0,0
"ENSMUSG00000028609",646,561,676,1136,1050,1051,840
"ENSMUSG00000028608",863,785,1006,1228,1255,1304,908
"ENSMUSG00000028607",4053,3888,4335,1550,2050,1608,1704
"ENSMUSG00000086713",9,0,9,0,7,3,0
"ENSMUSG00000008932",2,2,2,4,2,2,1
"ENSMUSG00000028600",663,464,876,438,889,502,265
"ENSMUSG00000089051",1,0,0,0,0,0,0
"ENSMUSG00000028603",7860,6114,7130,2417,2835,1953,2465
"ENSMUSG00000098980",1,1,1,1,0,1,1
"ENSMUSG00000028601",4826,4233,4552,3014,3023,2777,2419
"ENSMUSG00000034645",0,2,2,10,4,6,1
"ENSMUSG00000034636",1863,1261,2238,1548,1859,1672,1539
"ENSMUSG00000083957",0,0,0,0,0,0,0
"ENSMUSG00000081734",0,0,0,0,0,0,0
"ENSMUSG00000048351",521,452,558,421,491,399,358
"ENSMUSG00000059816",0,0,0,1,0,0,2
"ENSMUSG00000028597",47,51,79,497,419,504,288
"ENSMUSG00000083255",0,0,0,1,0,0,0
"ENSMUSG00000034610",522,384,654,1046,969,970,835
"ENSMUSG00000095361",2,1,3,0,0,2,0
"ENSMUSG00000083783",0,2,0,3,4,4,0
"ENSMUSG00000065299",0,0,0,2,0,0,0
"ENSMUSG00000085093",2,2,0,1,1,1,2
"ENSMUSG00000087714",0,0,0,0,0,0,0
"ENSMUSG00000084593",1,0,0,2,0,1,1
"ENSMUSG00000063800",478,458,583,876,852,832,681
"ENSMUSG00000028587",15,6,21,59,57,60,47
"ENSMUSG00000084968",10,9,23,23,26,29,25
"ENSMUSG00000028582",907,782,1131,1520,1539,1460,1150
"ENSMUSG00000102912",9,2,12,5,14,6,4
"ENSMUSG00000091985",91,91,73,96,103,91,68
"ENSMUSG00000034557",1357,1004,711,1147,1304,1075,1056
"ENSMUSG00000094958",9,4,4,8,5,5,4
"ENSMUSG00000082374",0,0,0,1,1,0,0
"ENSMUSG00000028568",436,340,417,510,508,580,394
"ENSMUSG00000028567",1365,1543,1783,1493,1794,1692,1451
"ENSMUSG00000090551",8,1,8,9,15,7,6
"ENSMUSG00000073775",296,292,339,353,378,334,271
"ENSMUSG00000003411",185,78,104,162,135,117,69
"ENSMUSG00000082699",0,0,0,0,0,0,0
"ENSMUSG00000086483",0,0,0,0,0,0,0
"ENSMUSG00000088285",0,0,0,0,0,0,0
"ENSMUSG00000053510",3979,3059,4774,4021,4405,3761,3632
"ENSMUSG00000076444",0,0,0,0,0,0,0
"ENSMUSG00000028559",4791,3153,6194,3350,3822,3168,3503
"ENSMUSG00000088014",0,0,1,0,0,2,0
"ENSMUSG00000028558",0,1,2,1,0,1,0
"ENSMUSG00000028552",2264,1668,2730,3077,2789,2743,2585
"ENSMUSG00000083512",2,0,2,2,2,3,1
"ENSMUSG00000085873",14,29,19,35,48,36,19
"ENSMUSG00000028555",86,80,81,302,336,280,157
"ENSMUSG00000028557",4095,3589,4242,2715,2789,2725,2715
"ENSMUSG00000060491",0,0,0,0,0,0,0
"ENSMUSG00000077687",0,0,0,0,0,0,0
"ENSMUSG00000087641",0,0,0,0,0,0,0
"ENSMUSG00000082771",1,0,5,0,1,4,1
"ENSMUSG00000059027",199,182,184,80,64,30,61
"ENSMUSG00000028551",268,243,281,392,437,430,340
"ENSMUSG00000010517",1210,968,1502,1214,1310,1106,1082
"ENSMUSG00000083995",0,0,0,0,0,1,0
"ENSMUSG00000085256",0,1,3,1,2,3,1
"ENSMUSG00000047143",2,9,11,10,18,27,7
"ENSMUSG00000028546",0,0,0,0,4,21,5
"ENSMUSG00000061298",3,11,3,10,13,11,7
"ENSMUSG00000081813",0,0,0,0,0,0,0
"ENSMUSG00000082348",0,0,1,1,2,0,2
"ENSMUSG00000081068",1,0,1,0,1,0,0
"ENSMUSG00000083904",0,0,0,1,0,0,0
"ENSMUSG00000028545",1364,1273,1171,541,766,473,535
"ENSMUSG00000084673",8,4,3,1,2,1,0
"ENSMUSG00000034401",450,326,520,1101,1144,1155,802
"ENSMUSG00000082686",1,3,0,0,1,2,2
"ENSMUSG00000100514",2,1,1,1,3,4,1
"ENSMUSG00000028544",1243,788,1311,251,490,318,385
"ENSMUSG00000078599",0,2,2,8,0,5,0
"ENSMUSG00000049214",0,0,0,1,0,0,0
"ENSMUSG00000084536",0,0,0,0,0,1,0
"ENSMUSG00000089773",0,0,0,0,0,0,0
"ENSMUSG00000055960",0,0,0,0,0,0,0
"ENSMUSG00000084326",0,0,0,0,0,0,0
"ENSMUSG00000082638",0,0,0,0,0,0,0
"ENSMUSG00000070868",0,0,0,9,15,0,25
